risk_score,risk_severity,vuln_id,aliases,component,version,version_confirmed,type,source_layer,ecosystem,min_depth,dependents,cvss_base,cvss_source,depth_weight,fanin_factor,summary,reference
9.8,CRITICAL,PYSEC-2024-259,BIT-pytorch-2024-48063;CVE-2024-48063,torch,,False,python,python-import,PyPI,1,,9.8,cvss-lib(v3),1.0,1.0,"In PyTorch <=2.4.1, the RemoteModule has Deserialization RCE. NOTE: this is disputed by multiple parties because this is intended behavior in PyTorch distributed computing.",https://rumbling-slice-eb0.notion.site/Distributed-RPC-Framework-RemoteModule-has-Deserialization-RCE-in-pytorch-pytorch-111e3cda9e8c8021a7d3cbc61ee1a20c
9.8,CRITICAL,PYSEC-2025-41,BIT-pytorch-2025-32434;CVE-2025-32434;GHSA-53q9-r3pm-6pq6,torch,,False,python,python-import,PyPI,1,,9.8,cvss-lib(v3),1.0,1.0,"PyTorch is a Python package that provides tensor computation with strong GPU acceleration and deep neural networks built on a tape-based autograd system. In version 2.5.1 and prior, a Remote Comman...",https://github.com/pytorch/pytorch/security/advisories/GHSA-53q9-r3pm-6pq6
9.3,CRITICAL,GHSA-47fc-vmwq-366v,BIT-pytorch-2022-45907;CVE-2022-45907;PYSEC-2022-43015,torch,,False,python,python-import,PyPI,1,,9.3,cvss-lib(v4),1.0,1.0,PyTorch vulnerable to arbitrary code execution,https://nvd.nist.gov/vuln/detail/CVE-2022-45907
9.3,CRITICAL,GHSA-53q9-r3pm-6pq6,BIT-pytorch-2025-32434;CVE-2025-32434;PYSEC-2025-41,torch,,False,python,python-import,PyPI,1,,9.3,cvss-lib(v4),1.0,1.0,PyTorch: `torch.load` with `weights_only=True` leads to remote code execution,https://github.com/pytorch/pytorch/security/advisories/GHSA-53q9-r3pm-6pq6
8.7,HIGH,GHSA-5pcm-hx3q-hm94,BIT-pytorch-2024-31580;CVE-2024-31580;PYSEC-2024-252,torch,,False,python,python-import,PyPI,1,,8.7,cvss-lib(v4),1.0,1.0,PyTorch heap buffer overflow vulnerability,https://nvd.nist.gov/vuln/detail/CVE-2024-31580
8.3,HIGH,DEBIAN-CVE-1999-0199,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,9.8,cvss-lib(v3),0.85,1.0,"manual/search.texi in the GNU C Library (aka glibc) before 2.2 lacks a statement about the unspecified tdelete return value upon deletion of a tree's root, which might allow attackers to access a d...",https://security-tracker.debian.org/tracker/CVE-1999-0199
8.3,HIGH,DEBIAN-CVE-2002-0391,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,9.8,cvss-lib(v3),0.85,1.0,"Integer overflow in xdr_array function in RPC servers for operating systems that use libc, glibc, or other code based on SunRPC including dietlibc, allows remote attackers to execute arbitrary code...",https://security-tracker.debian.org/tracker/CVE-2002-0391
8.3,HIGH,DEBIAN-CVE-2005-3590,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,9.8,cvss-lib(v3),0.85,1.0,"The getgrouplist function in the GNU C library (glibc) before version 2.3.5, when invoked with a zero argument, writes to the passed pointer even if the specified array size is zero, leading to a b...",https://security-tracker.debian.org/tracker/CVE-2005-3590
8.3,HIGH,DEBIAN-CVE-2014-9761,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,9.8,cvss-lib(v3),0.85,1.0,Multiple stack-based buffer overflows in the GNU C Library (aka glibc or libc6) before 2.23 allow context-dependent attackers to cause a denial of service (application crash) or possibly execute ar...,https://security-tracker.debian.org/tracker/CVE-2014-9761
8.3,HIGH,DEBIAN-CVE-2014-9984,,glibc,,False,system,shared-lib,Debian,2,matplotlib;torch,9.8,cvss-lib(v3),0.85,1.0,"nscd in the GNU C Library (aka glibc or libc6) before version 2.20 does not correctly compute the size of an internal buffer when processing netgroup requests, possibly leading to an nscd daemon cr...",https://security-tracker.debian.org/tracker/CVE-2014-9984
